id,Weekly_Sales
1_2_2013-03-01 ,46381.69705
1_2_2013-03-08 ,45520.9082
1_2_2013-03-15 ,46433.34205
1_2_2013-03-22 ,49066.31595
1_2_2013-03-29 ,46583.36145
1_2_2013-04-05 ,47710.8061
1_2_2013-04-12 ,45336.7463
1_2_2013-04-19 ,45211.9314
1_2_2013-04-26 ,45044.86775
1_2_2013-05-03 ,46362.42865
1_2_2013-05-10 ,46393.48595
1_2_2013-05-17 ,48160.2023
1_2_2013-05-24 ,47630.351
1_2_2013-05-31 ,47411.8942
1_2_2013-06-07 ,47442.63585
1_2_2013-06-14 ,48704.41085
1_2_2013-06-21 ,47572.56685
1_2_2013-06-28 ,46954.73395
1_2_2013-07-05 ,47633.05065
1_2_2013-07-12 ,47252.63125
1_2_2013-07-19 ,47069.73775
1_2_2013-07-26 ,46460.1811
1_3_2012-11-02 ,13365.25045
1_3_2012-11-09 ,14099.2699
1_3_2012-11-16 ,12416.97465
1_3_2012-11-23 ,12664.557
1_3_2012-11-30 ,11568.1307
1_3_2012-12-07 ,13316.787
1_3_2012-12-14 ,14996.2353
1_3_2012-12-21 ,16810.44105
1_3_2012-12-28 ,13620.586
1_3_2013-01-04 ,12537.96635
1_3_2013-01-11 ,13894.2723
1_3_2013-01-18 ,11923.53535
1_3_2013-01-25 ,13017.0991
1_3_2013-02-01 ,17861.5497
1_3_2013-02-08 ,17754.74515
1_3_2013-02-15 ,18768.0762
1_3_2013-02-22 ,18936.9126
1_3_2013-03-01 ,14516.26895
1_3_2013-03-08 ,14116.83525
1_3_2013-03-15 ,12762.5441
1_3_2013-03-22 ,15031.5354
1_3_2013-03-29 ,12472.62275
1_3_2013-04-05 ,13687.7697
1_3_2013-04-12 ,14010.19955
1_3_2013-04-19 ,12499.6367
1_3_2013-04-26 ,12908.6575
1_3_2013-05-03 ,10002.3086
1_3_2013-05-10 ,10376.21295
1_3_2013-05-17 ,10116.7191
1_3_2013-05-24 ,10797.53855
1_3_2013-05-31 ,9883.62185
1_3_2013-06-07 ,10409.4218
1_3_2013-06-14 ,11975.97575
1_3_2013-06-21 ,11420.94735
1_3_2013-06-28 ,10987.7917
1_3_2013-07-05 ,13096.26615
1_3_2013-07-12 ,13728.49635
1_3_2013-07-19 ,14956.5432
1_3_2013-07-26 ,16944.46045
1_4_2012-11-02 ,39240.48305
1_4_2012-11-09 ,38308.69645
1_4_2012-11-16 ,37325.8357
1_4_2012-11-23 ,43210.84285
1_4_2012-11-30 ,39237.30395
1_4_2012-12-07 ,41221.34285
1_4_2012-12-14 ,38944.3579
1_4_2012-12-21 ,47040.883
1_4_2012-12-28 ,35470.81225
1_4_2013-01-04 ,36812.7931
1_4_2013-01-11 ,36634.3737
1_4_2013-01-18 ,34656.26065
1_4_2013-01-25 ,33748.4084
1_4_2013-02-01 ,39472.0914
1_4_2013-02-08 ,39685.59645
1_4_2013-02-15 ,38991.90215
1_4_2013-02-22 ,39063.24585
1_4_2013-03-01 ,37547.69525
1_4_2013-03-08 ,37874.79235
1_4_2013-03-15 ,37585.70675
1_4_2013-03-22 ,39668.89755
1_4_2013-03-29 ,38435.23995
1_4_2013-04-05 ,38029.3324
1_4_2013-04-12 ,36916.60525
1_4_2013-04-19 ,37246.49575
1_4_2013-04-26 ,36672.18355
1_4_2013-05-03 ,36314.76475
1_4_2013-05-10 ,36563.53865
1_4_2013-05-17 ,37831.42835
1_4_2013-05-24 ,38085.9546
1_4_2013-05-31 ,38209.92905
1_4_2013-06-07 ,38436.7714
1_4_2013-06-14 ,39900.28925
1_4_2013-06-21 ,39758.61635
1_4_2013-06-28 ,38089.5875
1_4_2013-07-05 ,39300.45785
1_4_2013-07-12 ,38384.60355
1_4_2013-07-19 ,38135.74485
1_4_2013-07-26 ,36456.82985
1_5_2012-11-02 ,27020.22015
1_5_2012-11-09 ,25989.8303
1_5_2012-11-16 ,27312.62885
1_5_2012-11-23 ,64501.30125
1_5_2012-11-30 ,40756.3963
1_5_2012-12-07 ,46469.11645
1_5_2012-12-14 ,51984.4433
1_5_2012-12-21 ,69595.46055
1_5_2012-12-28 ,36111.4148
1_5_2013-01-04 ,21676.10115
1_5_2013-01-11 ,22117.3905
1_5_2013-01-18 ,21310.8285
1_5_2013-01-25 ,20960.0736
1_5_2013-02-01 ,29153.4036
1_5_2013-02-08 ,31010.73315
1_5_2013-02-15 ,33622.6135
1_5_2013-02-22 ,30002.62935
1_5_2013-03-01 ,29371.3598
1_5_2013-03-08 ,28071.6185
1_5_2013-03-15 ,27697.47235
1_5_2013-03-22 ,26786.1481
1_5_2013-03-29 ,27602.49165
1_5_2013-04-05 ,25939.8457
1_5_2013-04-12 ,22031.1373
1_5_2013-04-19 ,21666.2483
1_5_2013-04-26 ,21970.5851
1_5_2013-05-03 ,20038.22185
1_5_2013-05-10 ,21129.2439
1_5_2013-05-17 ,20901.87175
1_5_2013-05-24 ,20560.32775
1_5_2013-05-31 ,19890.11735
1_5_2013-06-07 ,20980.63945
1_5_2013-06-14 ,21366.7355
1_5_2013-06-21 ,21096.224
1_5_2013-06-28 ,20498.8072
1_5_2013-07-05 ,21657.7611
1_5_2013-07-12 ,19779.78155
1_5_2013-07-19 ,19965.34005
1_5_2013-07-26 ,19036.51965
1_6_2012-11-02 ,4487.414947
1_6_2012-11-09 ,3878.593097
1_6_2012-11-16 ,3977.825948
1_6_2012-11-23 ,18238.0204
1_6_2012-11-30 ,10419.17575
1_6_2012-12-07 ,8300.44185
1_6_2012-12-14 ,8134.4617
1_6_2012-12-21 ,16026.7469
1_6_2012-12-28 ,8798.42095
1_6_2013-01-04 ,3044.904197
1_6_2013-01-11 ,2780.643249
1_6_2013-01-18 ,2476.6703
1_6_2013-01-25 ,2550.2619
1_6_2013-02-01 ,4106.534099
1_6_2013-02-08 ,5526.377649
1_6_2013-02-15 ,5438.796599
1_6_2013-02-22 ,4893.099298
1_6_2013-03-01 ,4339.408549
1_6_2013-03-08 ,4299.349899
1_6_2013-03-15 ,4425.407899
1_6_2013-03-22 ,4659.173748
1_6_2013-03-29 ,4465.083649
1_6_2013-04-05 ,4489.945599
1_6_2013-04-12 ,4169.642949
1_6_2013-04-19 ,4232.986899
1_6_2013-04-26 ,4374.054249
1_6_2013-05-03 ,4693.20645
1_6_2013-05-10 ,4674.4971
1_6_2013-05-17 ,4470.32275
1_6_2013-05-24 ,4281.8499
1_6_2013-05-31 ,4507.5063
1_6_2013-06-07 ,4466.755149
1_6_2013-06-14 ,4518.639098
1_6_2013-06-21 ,4305.174998
1_6_2013-06-28 ,4513.844594
1_6_2013-07-05 ,4101.983648
1_6_2013-07-12 ,4072.282348
1_6_2013-07-19 ,4073.454549
1_6_2013-07-26 ,3979.12145
1_7_2012-11-02 ,23254.64805
1_7_2012-11-09 ,25050.436
1_7_2012-11-16 ,25486.0175
1_7_2012-11-23 ,76737.8337
1_7_2012-11-30 ,55269.84835
1_7_2012-12-07 ,52742.78465
1_7_2012-12-14 ,75773.80405
1_7_2012-12-21 ,125977.1197
1_7_2012-12-28 ,39081.38885
1_7_2013-01-04 ,13786.4871
1_7_2013-01-11 ,11336.049
1_7_2013-01-18 ,11225.1681
1_7_2013-01-25 ,12162.7634
1_7_2013-02-01 ,20617.3732
1_7_2013-02-08 ,21916.17505
1_7_2013-02-15 ,22591.94005
1_7_2013-02-22 ,22435.6104
1_7_2013-03-01 ,21778.06165
1_7_2013-03-08 ,22782.63135
1_7_2013-03-15 ,22048.5497
1_7_2013-03-22 ,22102.5538
1_7_2013-03-29 ,23114.77055
1_7_2013-04-05 ,22754.22235
1_7_2013-04-12 ,21105.35385
1_7_2013-04-19 ,21355.90895
1_7_2013-04-26 ,21615.69955
1_7_2013-05-03 ,20445.73175
1_7_2013-05-10 ,20394.0827
1_7_2013-05-17 ,20993.74175
1_7_2013-05-24 ,27100.4177
1_7_2013-05-31 ,29815.40435
1_7_2013-06-07 ,28223.34515
1_7_2013-06-14 ,27260.39575
1_7_2013-06-21 ,26971.3072
1_7_2013-06-28 ,26041.5528
1_7_2013-07-05 ,25711.65355
1_7_2013-07-12 ,20072.52585
1_7_2013-07-19 ,19057.13125
1_7_2013-07-26 ,18268.54105
1_8_2012-11-02 ,39602.3262
1_8_2012-11-09 ,38089.1346
1_8_2012-11-16 ,35926.0115
1_8_2012-11-23 ,36801.0309
1_8_2012-11-30 ,36042.9976
1_8_2012-12-07 ,36454.71405
1_8_2012-12-14 ,36882.7791
1_8_2012-12-21 ,41627.59485
1_8_2012-12-28 ,32709.55085
1_8_2013-01-04 ,35856.01665
1_8_2013-01-11 ,35402.2315
1_8_2013-01-18 ,34621.7918
1_8_2013-01-25 ,34341.99015
1_8_2013-02-01 ,38849.4483
1_8_2013-02-08 ,39065.0261
1_8_2013-02-15 ,39193.5233
1_8_2013-02-22 ,39367.69425
1_8_2013-03-01 ,37105.1758
1_8_2013-03-08 ,37327.80565
1_8_2013-03-15 ,37182.91835
1_8_2013-03-22 ,39054.38505
1_8_2013-03-29 ,37217.7807
1_8_2013-04-05 ,37045.20535
1_8_2013-04-12 ,36989.45565
1_8_2013-04-19 ,36670.8027
1_8_2013-04-26 ,36383.46525
1_8_2013-05-03 ,35922.11205
1_8_2013-05-10 ,36621.6164
1_8_2013-05-17 ,37107.29905
1_8_2013-05-24 ,37219.8539
1_8_2013-05-31 ,36665.11515
1_8_2013-06-07 ,36926.4275
1_8_2013-06-14 ,38160.6886
1_8_2013-06-21 ,38064.89855
1_8_2013-06-28 ,36741.18535
1_8_2013-07-05 ,37875.4176
1_8_2013-07-12 ,37172.7319
1_8_2013-07-19 ,36660.14875
1_8_2013-07-26 ,35410.4459
1_9_2012-11-02 ,43386.9002
1_9_2012-11-09 ,36351.02945
1_9_2012-11-16 ,34645.13345
1_9_2012-11-23 ,37060.9501
1_9_2012-11-30 ,31097.73705
1_9_2012-12-07 ,34553.88555
1_9_2012-12-14 ,31761.8243
1_9_2012-12-21 ,44908.12125
1_9_2012-12-28 ,28588.72085
1_9_2013-01-04 ,15712.1766
1_9_2013-01-11 ,18441.2148
1_9_2013-01-18 ,15039.67005
1_9_2013-01-25 ,17403.61665
1_9_2013-02-01 ,25293.34465
1_9_2013-02-08 ,27561.7772
1_9_2013-02-15 ,25608.3808
1_9_2013-02-22 ,26949.509
1_9_2013-03-01 ,26554.7132
1_9_2013-03-08 ,28988.34955
1_9_2013-03-15 ,31346.85
1_9_2013-03-22 ,34605.8854
1_9_2013-03-29 ,29184.9843
1_9_2013-04-05 ,30162.43815
1_9_2013-04-12 ,30360.3592
1_9_2013-04-19 ,30769.34825
1_9_2013-04-26 ,29629.8014
1_9_2013-05-03 ,28712.7092
1_9_2013-05-10 ,29019.0932
1_9_2013-05-17 ,29684.82815
1_9_2013-05-24 ,30997.15795
1_9_2013-05-31 ,31345.1017
1_9_2013-06-07 ,30429.78635
1_9_2013-06-14 ,31016.49715
1_9_2013-06-21 ,30854.3825
1_9_2013-06-28 ,27899.76705
1_9_2013-07-05 ,31331.016
1_9_2013-07-12 ,26682.67605
1_9_2013-07-19 ,29184.60295
1_9_2013-07-26 ,26594.8017
1_10_2012-11-02 ,31066.3558
1_10_2012-11-09 ,30327.51265
1_10_2012-11-16 ,30837.15415
1_10_2012-11-23 ,31648.7771
1_10_2012-11-30 ,30683.17165
1_10_2012-12-07 ,31230.6365
1_10_2012-12-14 ,30661.83915
1_10_2012-12-21 ,32961.904
1_10_2012-12-28 ,27040.61185
1_10_2013-01-04 ,29698.5221
1_10_2013-01-11 ,29067.3653
1_10_2013-01-18 ,28566.6391
1_10_2013-01-25 ,27523.36825
1_10_2013-02-01 ,35663.84215
1_10_2013-02-08 ,35372.5258
1_10_2013-02-15 ,36203.6969
1_10_2013-02-22 ,35525.46655
1_10_2013-03-01 ,34138.3037
1_10_2013-03-08 ,32732.5787
1_10_2013-03-15 ,32893.7885
1_10_2013-03-22 ,36047.12855
1_10_2013-03-29 ,33343.73445
1_10_2013-04-05 ,33611.47335
1_10_2013-04-12 ,31397.84605
1_10_2013-04-19 ,32425.7974
1_10_2013-04-26 ,31680.1788
1_10_2013-05-03 ,32264.3525
1_10_2013-05-10 ,32061.7751
1_10_2013-05-17 ,33704.52955
1_10_2013-05-24 ,33428.1205
1_10_2013-05-31 ,32854.87075
1_10_2013-06-07 ,32287.3556
1_10_2013-06-14 ,34706.1007
1_10_2013-06-21 ,34519.4504
1_10_2013-06-28 ,31624.8089
1_10_2013-07-05 ,34391.92925
1_10_2013-07-12 ,32977.29965
1_10_2013-07-19 ,32526.63125
1_10_2013-07-26 ,30915.8959
1_11_2012-11-02 ,24466.0331
1_11_2012-11-09 ,23176.12075
1_11_2012-11-16 ,23995.9886
1_11_2012-11-23 ,29491.21715
1_11_2012-11-30 ,29179.26785
1_11_2012-12-07 ,30557.3462
1_11_2012-12-14 ,30298.74675
1_11_2012-12-21 ,34299.1807
1_11_2012-12-28 ,23973.68995
1_11_2013-01-04 ,25139.01775
1_11_2013-01-11 ,24201.9106
1_11_2013-01-18 ,22818.0479
1_11_2013-01-25 ,21186.63955
1_11_2013-02-01 ,25973.24015
1_11_2013-02-08 ,27121.39075
1_11_2013-02-15 ,27977.3406
1_11_2013-02-22 ,26131.4478
1_11_2013-03-01 ,24037.35455
1_11_2013-03-08 ,23175.56625
1_11_2013-03-15 ,24526.5574
1_11_2013-03-22 ,26713.57545
1_11_2013-03-29 ,24816.42085
1_11_2013-04-05 ,25110.4021
1_11_2013-04-12 ,23119.05945
1_11_2013-04-19 ,23520.2218
1_11_2013-04-26 ,22857.7081
1_11_2013-05-03 ,25046.81295
1_11_2013-05-10 ,24788.3538
1_11_2013-05-17 ,27359.66355
1_11_2013-05-24 ,29047.2284
1_11_2013-05-31 ,30005.7651
1_11_2013-06-07 ,29838.74665
1_11_2013-06-14 ,31100.3234
1_11_2013-06-21 ,32559.88675
1_11_2013-06-28 ,34679.16945
1_11_2013-07-05 ,29784.99275
1_11_2013-07-12 ,30892.83305
1_11_2013-07-19 ,28740.796
1_11_2013-07-26 ,28802.7321
1_12_2012-11-02 ,10032.6503
1_12_2012-11-09 ,9930.76725
1_12_2012-11-16 ,9868.51025
1_12_2012-11-23 ,9731.84395
1_12_2012-11-30 ,9673.173799
1_12_2012-12-07 ,9083.201999
1_12_2012-12-14 ,9032.377349
1_12_2012-12-21 ,9195.670549
1_12_2012-12-28 ,8515.104449
1_12_2013-01-04 ,9175.53085
1_12_2013-01-11 ,9596.03915
1_12_2013-01-18 ,9212.76705
1_12_2013-01-25 ,9537.90345
1_12_2013-02-01 ,13092.3365
1_12_2013-02-08 ,13341.80695
1_12_2013-02-15 ,13435.9106
1_12_2013-02-22 ,13644.2084
1_12_2013-03-01 ,13223.9267
1_12_2013-03-08 ,13386.65505
1_12_2013-03-15 ,13340.8473
1_12_2013-03-22 ,13535.6228
1_12_2013-03-29 ,13269.15525
1_12_2013-04-05 ,13301.4137
1_12_2013-04-12 ,13176.01905
1_12_2013-04-19 ,13223.94065
1_12_2013-04-26 ,12989.5752
1_12_2013-05-03 ,11433.09695
1_12_2013-05-10 ,11327.7649
1_12_2013-05-17 ,11467.16385
1_12_2013-05-24 ,11553.95545
1_12_2013-05-31 ,11733.53235
1_12_2013-06-07 ,11671.97155
1_12_2013-06-14 ,11825.456
1_12_2013-06-21 ,11836.0576
1_12_2013-06-28 ,11597.1546
1_12_2013-07-05 ,11582.88445
1_12_2013-07-12 ,11507.2181
1_12_2013-07-19 ,11352.5445
1_12_2013-07-26 ,11229.0402
1_13_2012-11-02 ,41378.27615
1_13_2012-11-09 ,41198.00755
1_13_2012-11-16 ,40323.1005
1_13_2012-11-23 ,39778.28995
1_13_2012-11-30 ,38133.4389
1_13_2012-12-07 ,38355.07535
1_13_2012-12-14 ,37692.3916
1_13_2012-12-21 ,38632.1581
1_13_2012-12-28 ,33947.18555
1_13_2013-01-04 ,39004.9455
1_13_2013-01-11 ,38756.2737
1_13_2013-01-18 ,38101.98595
1_13_2013-01-25 ,36735.7141
1_13_2013-02-01 ,41600.5091
1_13_2013-02-08 ,42313.69245
1_13_2013-02-15 ,41561.20525
1_13_2013-02-22 ,42184.197
1_13_2013-03-01 ,40189.77265
1_13_2013-03-08 ,39941.45615
1_13_2013-03-15 ,39706.9405
1_13_2013-03-22 ,41851.31665
1_13_2013-03-29 ,40240.68375
1_13_2013-04-05 ,40497.6609
1_13_2013-04-12 ,39395.93925
1_13_2013-04-19 ,39081.8239
1_13_2013-04-26 ,39210.8212
1_13_2013-05-03 ,39057.39945
1_13_2013-05-10 ,39555.13665
1_13_2013-05-17 ,41223.807
1_13_2013-05-24 ,40112.05345
1_13_2013-05-31 ,39052.81025
1_13_2013-06-07 ,39761.1426
1_13_2013-06-14 ,41704.44615
1_13_2013-06-21 ,40968.556
1_13_2013-06-28 ,40237.1883
1_13_2013-07-05 ,41382.85015
1_13_2013-07-12 ,39819.05885
1_13_2013-07-19 ,40042.27495
1_13_2013-07-26 ,38815.75415
1_14_2012-11-02 ,15977.9491
1_14_2012-11-09 ,15491.5367
1_14_2012-11-16 ,16315.86625
1_14_2012-11-23 ,31475.645
1_14_2012-11-30 ,22309.28055
1_14_2012-12-07 ,26779.1467
1_14_2012-12-14 ,28176.28645
1_14_2012-12-21 ,43011.9006
1_14_2012-12-28 ,21366.32265
1_14_2013-01-04 ,16190.66705
1_14_2013-01-11 ,14059.51835
1_14_2013-01-18 ,15928.22805
1_14_2013-01-25 ,13362.54265
1_14_2013-02-01 ,17018.2282
1_14_2013-02-08 ,15486.78965
1_14_2013-02-15 ,16955.95705
1_14_2013-02-22 ,16269.57175
1_14_2013-03-01 ,15392.96625
1_14_2013-03-08 ,14619.3983
1_14_2013-03-15 ,14174.4495
1_14_2013-03-22 ,15153.8605
1_14_2013-03-29 ,14936.8442
1_14_2013-04-05 ,15145.71115
1_14_2013-04-12 ,14200.3047
1_14_2013-04-19 ,14182.8835
1_14_2013-04-26 ,14075.7045
1_14_2013-05-03 ,14181.99605
1_14_2013-05-10 ,15195.1957
1_14_2013-05-17 ,15802.9944
1_14_2013-05-24 ,14854.31175
1_14_2013-05-31 ,14265.28125
1_14_2013-06-07 ,14564.1221
1_14_2013-06-14 ,15006.93665
1_14_2013-06-21 ,14934.1471
1_14_2013-06-28 ,14209.3103
1_14_2013-07-05 ,16093.6207
1_14_2013-07-12 ,14914.51945
1_14_2013-07-19 ,14866.4752
1_14_2013-07-26 ,13478.13335
1_16_2012-11-02 ,6795.75515
1_16_2012-11-09 ,7084.1549
1_16_2012-11-16 ,5979.89365
1_16_2012-11-23 ,9141.3588
1_16_2012-11-30 ,6351.98855
1_16_2012-12-07 ,8617.2436
1_16_2012-12-14 ,5412.9076
1_16_2012-12-21 ,7456.6783
1_16_2012-12-28 ,5990.09625
1_16_2013-01-04 ,6893.93775
1_16_2013-01-11 ,8322.0988
1_16_2013-01-18 ,7221.1876
1_16_2013-01-25 ,8655.1403
1_16_2013-02-01 ,13037.3402
1_16_2013-02-08 ,14942.00185
1_16_2013-02-15 ,14069.38865
1_16_2013-02-22 ,17463.7956
1_16_2013-03-01 ,21275.99275
1_16_2013-03-08 ,26188.40955
1_16_2013-03-15 ,35546.10685
1_16_2013-03-22 ,46125.69815
1_16_2013-03-29 ,33433.33365
1_16_2013-04-05 ,43222.13815
1_16_2013-04-12 ,45463.12095
1_16_2013-04-19 ,46500.15265
1_16_2013-04-26 ,40444.88715
1_16_2013-05-03 ,48859.02335
1_16_2013-05-10 ,45130.1408
1_16_2013-05-17 ,46899.5134
1_16_2013-05-24 ,50021.76805
1_16_2013-05-31 ,51108.265
1_16_2013-06-07 ,42727.0302
1_16_2013-06-14 ,43115.72455
1_16_2013-06-21 ,42999.9562
1_16_2013-06-28 ,41600.13335
1_16_2013-07-05 ,43036.6852
1_16_2013-07-12 ,30125.38975
1_16_2013-07-19 ,25883.9678
1_16_2013-07-26 ,24168.9971
1_17_2012-11-02 ,8535.67055
1_17_2012-11-09 ,8791.1705
1_17_2012-11-16 ,8447.9035
1_17_2012-11-23 ,12943.9653
1_17_2012-11-30 ,11572.0593
1_17_2012-12-07 ,12345.95675
1_17_2012-12-14 ,12825.9976
1_17_2012-12-21 ,17918.01715
1_17_2012-12-28 ,10028.5528
1_17_2013-01-04 ,9380.1401
1_17_2013-01-11 ,9182.8309
1_17_2013-01-18 ,8831.08445
1_17_2013-01-25 ,8353.40925
1_17_2013-02-01 ,9888.66085
1_17_2013-02-08 ,10158.5582
1_17_2013-02-15 ,11041.0016
1_17_2013-02-22 ,10489.272
1_17_2013-03-01 ,10139.41565
1_17_2013-03-08 ,9925.341
1_17_2013-03-15 ,9477.1007
1_17_2013-03-22 ,9777.84125
1_17_2013-03-29 ,9510.42315
1_17_2013-04-05 ,9452.45425
1_17_2013-04-12 ,8691.81295
1_17_2013-04-19 ,8606.45935
1_17_2013-04-26 ,8866.9802
1_17_2013-05-03 ,8893.93105
1_17_2013-05-10 ,8906.81105
1_17_2013-05-17 ,8835.7529
1_17_2013-05-24 ,8501.7354
1_17_2013-05-31 ,8287.0969
1_17_2013-06-07 ,8342.87995
1_17_2013-06-14 ,8536.3203
1_17_2013-06-21 ,8397.2087
1_17_2013-06-28 ,8200.3707
1_17_2013-07-05 ,8843.13405
1_17_2013-07-12 ,8232.68575
1_17_2013-07-19 ,8305.96335
1_17_2013-07-26 ,8094.3738
1_18_2012-11-02 ,13263.2232
1_18_2012-11-09 ,11825.08485
1_18_2012-11-16 ,13574.04665
1_18_2012-11-23 ,32124.74565
1_18_2012-11-30 ,41224.4015
1_18_2012-12-07 ,46385.9724
1_18_2012-12-14 ,33321.21475
1_18_2012-12-21 ,23021.6579
1_18_2012-12-28 ,18914.72745
1_18_2013-01-04 ,8695.107794
1_18_2013-01-11 ,6817.551545
1_18_2013-01-18 ,2279.937292
1_18_2013-01-25 ,2681.31324
1_18_2013-02-01 ,5377.772531
1_18_2013-02-08 ,10452.71789
1_18_2013-02-15 ,13143.26615
1_18_2013-02-22 ,2798.419591
1_18_2013-03-01 ,2084.074091
1_18_2013-03-08 ,2045.132745
1_18_2013-03-15 ,3324.377375
1_18_2013-03-22 ,7947.393386
1_18_2013-03-29 ,7020.981301
1_18_2013-04-05 ,7791.253653
1_18_2013-04-12 ,3748.003432
1_18_2013-04-19 ,3427.278573
1_18_2013-04-26 ,4383.55671
1_18_2013-05-03 ,3890.87611
1_18_2013-05-10 ,3326.069468
1_18_2013-05-17 ,4653.8923
1_18_2013-05-24 ,3461.161003
1_18_2013-06-07 ,2344.952019
1_18_2013-07-05 ,2432.795769
1_19_2012-11-02 ,1344.7143
1_19_2012-11-09 ,1314.09725
1_19_2012-11-16 ,1430.262448
1_19_2012-11-23 ,1587.2666
1_19_2012-11-30 ,1413.6403
1_19_2012-12-07 ,1815.76585
1_19_2012-12-14 ,1712.947
1_19_2012-12-21 ,1987.51105
1_19_2012-12-28 ,1217.12835
1_19_2013-01-04 ,1049.3712
1_19_2013-01-11 ,1113.80195
1_19_2013-01-18 ,1118.75405
1_19_2013-01-25 ,1133.06825
1_19_2013-02-01 ,1377.47075
1_19_2013-02-08 ,1442.8866
1_19_2013-02-15 ,1369.80245
1_19_2013-02-22 ,1483.8715
1_19_2013-03-01 ,1533.64345
1_19_2013-03-08 ,1541.1761
1_19_2013-03-15 ,1553.8511
1_19_2013-03-22 ,1532.1387
1_19_2013-03-29 ,1453.93595
1_19_2013-04-05 ,1421.7991
1_19_2013-04-12 ,1413.3422
1_19_2013-04-19 ,1320.38535
1_19_2013-04-26 ,1348.42115
1_19_2013-05-03 ,1360.997149
1_19_2013-05-10 ,1298.268099
1_19_2013-05-17 ,1271.225449
1_19_2013-05-24 ,1442.244145
1_19_2013-05-31 ,1129.3803
1_19_2013-06-07 ,1392.036697
1_19_2013-06-14 ,1287.907747
1_19_2013-06-21 ,1204.963648
1_19_2013-06-28 ,1087.507399
1_19_2013-07-05 ,1621.945742
1_19_2013-07-12 ,1582.688692
1_19_2013-07-19 ,1614.003892
1_19_2013-07-26 ,1274.347347
1_20_2012-11-02 ,3443.28225
1_20_2012-11-09 ,3362.7086
1_20_2012-11-16 ,3404.048
1_20_2012-11-23 ,4394.1334
1_20_2012-11-30 ,4087.35295
1_20_2012-12-07 ,3945.08895
1_20_2012-12-14 ,3829.30185
1_20_2012-12-21 ,4782.8186
1_20_2012-12-28 ,3913.19995
1_20_2013-01-04 ,3691.4641
1_20_2013-01-11 ,3923.4719
1_20_2013-01-18 ,3733.47525
1_20_2013-01-25 ,3537.8144
1_20_2013-02-01 ,4758.1843
1_20_2013-02-08 ,5393.8722
1_20_2013-02-15 ,5305.40815
1_20_2013-02-22 ,5450.2366
1_20_2013-03-01 ,5278.3253
1_20_2013-03-08 ,5236.33075
1_20_2013-03-15 ,5133.88365
1_20_2013-03-22 ,5162.7199
1_20_2013-03-29 ,5260.3505
1_20_2013-04-05 ,5199.6588
1_20_2013-04-12 ,4807.78245
1_20_2013-04-19 ,4774.4318
1_20_2013-04-26 ,4735.7807
1_20_2013-05-03 ,4127.5667
1_20_2013-05-10 ,4409.10835
1_20_2013-05-17 ,4636.69845
1_20_2013-05-24 ,4463.204
1_20_2013-05-31 ,4455.0137
1_20_2013-06-07 ,4443.3076
1_20_2013-06-14 ,4596.73465
1_20_2013-06-21 ,4611.4163
1_20_2013-06-28 ,4566.98345
1_20_2013-07-05 ,4576.62935
1_20_2013-07-12 ,4424.3475
1_20_2013-07-19 ,4298.5877
1_20_2013-07-26 ,4153.7013
1_21_2012-11-02 ,8203.6567
1_21_2012-11-09 ,8054.5711
1_21_2012-11-16 ,8316.01255
